model,dataset,seed,signal,n_test,AURC_sq,AURC_signal,delta_aurc_over_sq
mistral_7b,truthfulqa,1,hidden_state_answer_probe,326,0.4090146258581203,0.42176841471909454,-0.012753788860974224
mistral_7b,truthfulqa,2,verbalized_confidence,326,0.3750433802409796,0.48442980763124166,-0.10938642739026205
mistral_7b,truthfulqa,2,V_pos_minus_V_neg,326,0.3750433802409796,0.44223560328506534,-0.06719222304408573
mistral_7b,truthfulqa,2,logprob_margin,326,0.3750433802409796,0.17185169587697796,0.20319168436400165
mistral_7b,truthfulqa,2,ntok,326,0.3750433802409796,0.4928666459323104,-0.11782326569133078
mistral_7b,truthfulqa,2,hidden_state_answer_probe,326,0.3750433802409796,0.372598560037753,0.0024448202032266164
qwen2_5_7b,pavlick_nli,0,verbalized_confidence,198,0.0424556889690849,0.04475875383729426,-0.002303064868209359
qwen2_5_7b,pavlick_nli,0,V_pos_minus_V_neg,198,0.0424556889690849,0.048942996821811226,-0.006487307852726325
qwen2_5_7b,pavlick_nli,0,logprob_margin,198,0.0424556889690849,0.013346016947300835,0.029109672021784064
qwen2_5_7b,pavlick_nli,0,ntok,198,0.0424556889690849,0.20263000969661393,-0.16017432072752902
qwen2_5_7b,pavlick_nli,0,hidden_state_answer_probe,198,0.0424556889690849,0.014779891499094484,0.027675797469990417
qwen2_5_7b,pavlick_nli,1,verbalized_confidence,198,0.07021455925283285,0.08226629198651363,-0.012051732733680778
qwen2_5_7b,pavlick_nli,1,V_pos_minus_V_neg,198,0.07021455925283285,0.06154293321633108,0.008671626036501769
qwen2_5_7b,pavlick_nli,1,logprob_margin,198,0.07021455925283285,0.020206385815303513,0.050008173437529335
qwen2_5_7b,pavlick_nli,1,ntok,198,0.07021455925283285,0.2266438483426699,-0.15642928908983705
qwen2_5_7b,pavlick_nli,1,hidden_state_answer_probe,198,0.07021455925283285,0.023790396187103796,0.04642416306572905
qwen2_5_7b,pavlick_nli,2,verbalized_confidence,198,0.039473997332165466,0.06624263909506453,-0.026768641762899066
qwen2_5_7b,pavlick_nli,2,V_pos_minus_V_neg,198,0.039473997332165466,0.06129706898516448,-0.021823071652999015
qwen2_5_7b,pavlick_nli,2,logprob_margin,198,0.039473997332165466,0.014233862124958682,0.025240135207206783
qwen2_5_7b,pavlick_nli,2,ntok,198,0.039473997332165466,0.2066053080730393,-0.16713131074087384
qwen2_5_7b,pavlick_nli,2,hidden_state_answer_probe,198,0.039473997332165466,0.01588896825337173,0.023585029078793736
qwen2_5_7b,truthfulqa,0,verbalized_confidence,326,0.43204507546173404,0.3660574019823462,0.06598767347938783
qwen2_5_7b,truthfulqa,0,V_pos_minus_V_neg,326,0.43204507546173404,0.28993836693532976,0.14210670852640428
qwen2_5_7b,truthfulqa,0,logprob_margin,326,0.43204507546173404,0.1628675461759206,0.2691775292858134
qwen2_5_7b,truthfulqa,0,ntok,326,0.43204507546173404,0.5400635431089961,-0.10801846764726203
qwen2_5_7b,truthfulqa,0,hidden_state_answer_probe,326,0.43204507546173404,0.3582355536262332,0.07380952183550082
