model,dataset,seed,metric,better,n_test,metric_sq,metric_report,delta,report_transform,effective_bins,max_bin_mass,measurable
llama3_8b,pavlick_nli,1,AUROC,higher,198,0.8706395348837209,0.8014950166112957,-0.06914451827242518,none,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,Brier,lower,198,0.15813881350513465,0.24737625686018797,-0.08923744335505332,(gap+1)/2,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,AURC,lower,198,0.17369193402576238,0.25408499820947245,-0.08039306418371006,none,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,AUROC,higher,198,0.8711087975013014,0.7617907339927122,-0.10931806350858919,none,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,Brier,lower,198,0.14825759747349435,0.24768584970534996,-0.09942825223185561,(gap+1)/2,1.0676162390060882,0.9879032258064516,False
mistral_7b,truthfulqa,0,AURC,lower,326,0.42101118958080697,0.4808197151093449,-0.05980852552853794,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,0,AUROC,higher,326,0.6870024523674778,0.5741558196566685,-0.1128466327108093,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,0,Brier,lower,326,0.22915031820472875,0.2459540525930864,-0.01680373438835764,(gap+1)/2,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,AURC,lower,326,0.4090146258581203,0.47439039669144234,-0.06537577083332202,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,AUROC,higher,326,0.6747515962068835,0.5713098341456043,-0.1034417620612792,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,Brier,lower,326,0.22876144144546107,0.2460677006100814,-0.017306259164620336,(gap+1)/2,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,AURC,lower,326,0.3750433802409796,0.44223560328506534,-0.06719222304408573,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,AUROC,higher,326,0.7164308621014902,0.6061120543293718,-0.11031880777211844,none,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,Brier,lower,326,0.21569303252992633,0.24438893286099456,-0.028695900331068225,(gap+1)/2,4.891409758313021,0.38555691554467564,True
mistral_7b,pavlick_nli,0,AURC,lower,198,0.09757334751149181,0.18368858084976994,-0.08611523333827813,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,0,AUROC,higher,198,0.7587385427994408,0.48081404380922793,-0.2779244989902128,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,0,Brier,lower,198,0.15065479139610424,0.24804666506149275,-0.09739187366538851,(gap+1)/2,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,AURC,lower,198,0.1148715878179992,0.1533616030229816,-0.03849001520498241,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,AUROC,higher,198,0.6910051266117757,0.586453316762467,-0.10455180984930867,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,Brier,lower,198,0.16898368730049435,0.24110273007488836,-0.07211904277439402,(gap+1)/2,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,AURC,lower,198,0.0918862351090633,0.13752808324789514,-0.04564184813883185,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,AUROC,higher,198,0.7037302725968437,0.5041248206599713,-0.1996054519368724,none,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,Brier,lower,198,0.14419496127158146,0.24615067381667619,-0.10195571254509472,(gap+1)/2,7.388410459230447,0.2560483870967742,True
qwen2_5_7b,truthfulqa,0,AURC,lower,326,0.43204507546173404,0.28993836693532976,0.14210670852640428,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,0,AUROC,higher,326,0.6205701803939291,0.8097390125409558,0.18916883214702673,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,0,Brier,lower,326,0.24155648240031638,0.21139845569914364,0.030158026701172735,(gap+1)/2,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,AURC,lower,326,0.43983728629069535,0.3118100195605175,0.12802726673017784,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,AUROC,higher,326,0.6277388836329234,0.8184295175023651,0.19069063386944174,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,Brier,lower,326,0.24307410433194568,0.21084779285791863,0.03222631147402705,(gap+1)/2,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,AURC,lower,326,0.3708198929412142,0.3144564900464808,0.056363402894733405,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,AUROC,higher,326,0.6435185185185185,0.7743149653718759,0.13079644685335745,none,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,Brier,lower,326,0.23611138880839455,0.21769851619462033,0.018412872613774223,(gap+1)/2,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,pavlick_nli,0,AURC,lower,198,0.0424556889690849,0.048942996821811226,-0.006487307852726325,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,0,AUROC,higher,198,0.8568669113386131,0.8499130770716631,-0.006953834266950065,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,0,Brier,lower,198,0.10187701001726718,0.22964730826407054,-0.12777029824680336,(gap+1)/2,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,AURC,lower,198,0.07021455925283285,0.06154293321633108,0.008671626036501769,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,AUROC,higher,198,0.7999999999999999,0.8396381578947368,0.0396381578947369,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,Brier,lower,198,0.16330552514576044,0.22419517787765214,-0.0608896527318917,(gap+1)/2,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,AURC,lower,198,0.039473997332165466,0.06129706898516448,-0.021823071652999015,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,AUROC,higher,198,0.8887424698795181,0.8049698795180723,-0.0837725903614458,none,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,2,Brier,lower,198,0.08545933732163355,0.2284246015433103,-0.14296526422167674,(gap+1)/2,9.626390833994494,0.2842741935483871,True
