method,aurc,coverage_at_acc_80,coverage_at_acc_90,n,model_key,dataset,seed
probe_pred_only,0.3826325046297364,0.24281583227905296,0.14756913067052232,11066,llama3_8b,popqa,1
logit_pred,0.3826325046297364,0.24281583227905296,0.14756913067052232,11066,llama3_8b,popqa,1
phillips_sum,0.507308595494365,0.05376829929513826,0.0037050424724380986,11066,llama3_8b,popqa,1
gap,0.5625432462343557,0.010844026748599312,0.0037954093620097594,11066,llama3_8b,popqa,1
probe_amb_only,0.6205186571802564,9.036688957166094e-05,9.036688957166094e-05,11066,llama3_8b,popqa,1
seq_entropy,0.6638633568785952,9.036688957166094e-05,9.036688957166094e-05,11066,llama3_8b,popqa,1
logprob,0.6650379713933018,9.036688957166094e-05,9.036688957166094e-05,11066,llama3_8b,popqa,1
probe_pred_only,0.3848422488790918,0.23838785469004156,0.13130309054762335,11066,llama3_8b,popqa,2
logit_pred,0.3848422488790918,0.23838785469004156,0.13130309054762335,11066,llama3_8b,popqa,2
phillips_sum,0.5086540929165695,0.05611783842400145,0.00289174046629315,11066,llama3_8b,popqa,2
gap,0.5662163955339421,0.008133020061449486,0.0024399060184348456,11066,llama3_8b,popqa,2
probe_amb_only,0.6170679331438198,0.0007229351165732876,9.036688957166094e-05,11066,llama3_8b,popqa,2
logprob,0.6658414063260901,0.0,0.0,11066,llama3_8b,popqa,2
seq_entropy,0.6664874013860065,0.0,0.0,11066,llama3_8b,popqa,2
probe_pred_only,0.3475067790816369,0.3406666666666667,0.24666666666666667,1500,llama3_8b,pubmedqa,0
logit_pred,0.3475067790816369,0.3406666666666667,0.24666666666666667,1500,llama3_8b,pubmedqa,0
gap,0.362751373322677,0.3373333333333333,0.26,1500,llama3_8b,pubmedqa,0
logprob,0.39100373374208625,0.24533333333333332,0.08933333333333333,1500,llama3_8b,pubmedqa,0
phillips_sum,0.443875294874828,0.0,0.0,1500,llama3_8b,pubmedqa,0
probe_amb_only,0.7316044366100671,0.0,0.0,1500,llama3_8b,pubmedqa,0
probe_pred_only,0.3436974140684175,0.3506666666666667,0.262,1500,llama3_8b,pubmedqa,1
logit_pred,0.3436974140684175,0.3506666666666667,0.262,1500,llama3_8b,pubmedqa,1
gap,0.3530890763736937,0.35,0.272,1500,llama3_8b,pubmedqa,1
logprob,0.3821167474860722,0.2613333333333333,0.12066666666666667,1500,llama3_8b,pubmedqa,1
phillips_sum,0.4524891005559938,0.0,0.0,1500,llama3_8b,pubmedqa,1
probe_amb_only,0.7612370453221708,0.0,0.0,1500,llama3_8b,pubmedqa,1
probe_pred_only,0.3473761361869302,0.3353333333333333,0.24533333333333332,1500,llama3_8b,pubmedqa,2
logit_pred,0.3473761361869302,0.3353333333333333,0.24533333333333332,1500,llama3_8b,pubmedqa,2
gap,0.3592301538191019,0.338,0.26266666666666666,1500,llama3_8b,pubmedqa,2
logprob,0.39102735532900873,0.24733333333333332,0.088,1500,llama3_8b,pubmedqa,2
phillips_sum,0.4534991991275326,0.0006666666666666666,0.0006666666666666666,1500,llama3_8b,pubmedqa,2
probe_amb_only,0.7459797095154035,0.0,0.0,1500,llama3_8b,pubmedqa,2
probe_pred_only,0.3049592435084628,0.4116666666666667,0.36041666666666666,12000,llama3_8b,triviaqa,0
logit_pred,0.3049592435084628,0.4116666666666667,0.36041666666666666,12000,llama3_8b,triviaqa,0
gap,0.3072747310789547,0.40858333333333335,0.3501666666666667,12000,llama3_8b,triviaqa,0
phillips_sum,0.3075763698756335,0.40675,0.35225,12000,llama3_8b,triviaqa,0
probe_amb_only,0.5989148864000253,0.0,0.0,12000,llama3_8b,triviaqa,0
seq_entropy,0.6618449921571083,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,0
logprob,0.6634087418073464,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,0
probe_pred_only,0.3042994433759997,0.41275,0.36283333333333334,12000,llama3_8b,triviaqa,1
logit_pred,0.3042994433759997,0.41275,0.36283333333333334,12000,llama3_8b,triviaqa,1
phillips_sum,0.30638773781628925,0.4105,0.3561666666666667,12000,llama3_8b,triviaqa,1
gap,0.3066281445094264,0.4096666666666667,0.35425,12000,llama3_8b,triviaqa,1
probe_amb_only,0.5960666630881655,0.0,0.0,12000,llama3_8b,triviaqa,1
seq_entropy,0.6687812096131526,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,1
logprob,0.6699166654881906,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,1
probe_pred_only,0.3046384055806555,0.41175,0.36141666666666666,12000,llama3_8b,triviaqa,2
logit_pred,0.3046384055806555,0.41175,0.36141666666666666,12000,llama3_8b,triviaqa,2
gap,0.3066663965879576,0.40858333333333335,0.3536666666666667,12000,llama3_8b,triviaqa,2
phillips_sum,0.3074051292933036,0.4075,0.35175,12000,llama3_8b,triviaqa,2
probe_amb_only,0.5966829521534028,0.0,0.0,12000,llama3_8b,triviaqa,2
seq_entropy,0.6668015871005829,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,2
logprob,0.6673811529776983,8.333333333333333e-05,8.333333333333333e-05,12000,llama3_8b,triviaqa,2
probe_pred_only,0.3380518832470114,0.3107667210440457,0.2553017944535073,1226,llama3_8b,truthfulqa,0
logit_pred,0.3380518832470114,0.3107667210440457,0.2553017944535073,1226,llama3_8b,truthfulqa,0
gap,0.45759280637445654,0.16721044045676997,0.1166394779771615,1226,llama3_8b,truthfulqa,0
phillips_sum,0.5005242408464341,0.02936378466557912,0.01468189233278956,1226,llama3_8b,truthfulqa,0
probe_amb_only,0.6575257114755806,0.0,0.0,1226,llama3_8b,truthfulqa,0
logprob,0.6634127617345356,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,0
seq_entropy,0.6637574224053238,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,0
probe_pred_only,0.31514246626374154,0.3923327895595432,0.3189233278955954,1226,llama3_8b,truthfulqa,1
logit_pred,0.31514246626374154,0.3923327895595432,0.3189233278955954,1226,llama3_8b,truthfulqa,1
gap,0.4300806252647343,0.200652528548124,0.1500815660685155,1226,llama3_8b,truthfulqa,1
phillips_sum,0.4535199986492215,0.10195758564437195,0.048939641109298535,1226,llama3_8b,truthfulqa,1
probe_amb_only,0.6462340530467173,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,1
seq_entropy,0.6590577338278659,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,1
logprob,0.6632065212510421,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,1
probe_pred_only,0.3166123900111034,0.3939641109298532,0.3181076672104405,1226,llama3_8b,truthfulqa,2
logit_pred,0.3166123900111034,0.3939641109298532,0.3181076672104405,1226,llama3_8b,truthfulqa,2
gap,0.44649911735238446,0.17128874388254486,0.12561174551386622,1226,llama3_8b,truthfulqa,2
phillips_sum,0.4497875198745512,0.09869494290375204,0.05791190864600326,1226,llama3_8b,truthfulqa,2
probe_amb_only,0.6337993779027224,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,2
seq_entropy,0.6530671255855269,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,2
logprob,0.655368386880817,0.0008156606851549756,0.0008156606851549756,1226,llama3_8b,truthfulqa,2
probe_pred_only,0.3257654219456334,0.4119318181818182,0.27178030303030304,2112,mistral_7b,ambigqa_kge2,0
logit_pred,0.3257654219456334,0.4119318181818182,0.27178030303030304,2112,mistral_7b,ambigqa_kge2,0
gap,0.33776446818812744,0.3787878787878788,0.25,2112,mistral_7b,ambigqa_kge2,0
phillips_sum,0.4143402939861173,0.036458333333333336,0.015625,2112,mistral_7b,ambigqa_kge2,0
probe_amb_only,0.6261803747025824,0.0004734848484848485,0.0004734848484848485,2112,mistral_7b,ambigqa_kge2,0
logprob,0.6621241043054134,0.0004734848484848485,0.0004734848484848485,2112,mistral_7b,ambigqa_kge2,0
seq_entropy,0.663002761878495,0.0004734848484848485,0.0004734848484848485,2112,mistral_7b,ambigqa_kge2,0
probe_pred_only,0.3256902108315415,0.41051136363636365,0.2689393939393939,2112,mistral_7b,ambigqa_kge2,1
logit_pred,0.3256902108315415,0.41051136363636365,0.2689393939393939,2112,mistral_7b,ambigqa_kge2,1
gap,0.33765132444761387,0.3693181818181818,0.23816287878787878,2112,mistral_7b,ambigqa_kge2,1
phillips_sum,0.4170200573368257,0.034564393939393936,0.011363636363636364,2112,mistral_7b,ambigqa_kge2,1
probe_amb_only,0.6082028010941469,0.0,0.0,2112,mistral_7b,ambigqa_kge2,1
logprob,0.6615275741321389,0.0004734848484848485,0.0004734848484848485,2112,mistral_7b,ambigqa_kge2,1
seq_entropy,0.6621740736576606,0.0004734848484848485,0.0004734848484848485,2112,mistral_7b,ambigqa_kge2,1
probe_pred_only,0.32669021935021836,0.4081439393939394,0.26799242424242425,2112,mistral_7b,ambigqa_kge2,2
logit_pred,0.32669021935021836,0.4081439393939394,0.26799242424242425,2112,mistral_7b,ambigqa_kge2,2
gap,0.33915181827440993,0.3697916666666667,0.23863636363636365,2112,mistral_7b,ambigqa_kge2,2
phillips_sum,0.4212619304885087,0.034564393939393936,0.022727272727272728,2112,mistral_7b,ambigqa_kge2,2
probe_amb_only,0.578185708962715,0.0,0.0,2112,mistral_7b,ambigqa_kge2,2
logprob,0.6733508958712886,0.0,0.0,2112,mistral_7b,ambigqa_kge2,2
seq_entropy,0.673978536133172,0.0,0.0,2112,mistral_7b,ambigqa_kge2,2
probe_pred_only,0.45991308005249826,0.07408993576017131,0.008779443254817988,4670,mistral_7b,chaosnli,0
logit_pred,0.45991320881543407,0.07408993576017131,0.008779443254817988,4670,mistral_7b,chaosnli,0
phillips_sum,0.5103529055278901,0.01284796573875803,0.0021413276231263384,4670,mistral_7b,chaosnli,0
gap,0.520310454813976,0.0,0.0,4670,mistral_7b,chaosnli,0
logprob,0.5705592328377171,0.0021413276231263384,0.00042826552462526765,4670,mistral_7b,chaosnli,0
probe_amb_only,0.6771214675212153,0.0,0.0,4670,mistral_7b,chaosnli,0
probe_pred_only,0.462984381175765,0.07066381156316917,0.004496788008565311,4670,mistral_7b,chaosnli,1
logit_pred,0.462984381175765,0.07066381156316917,0.004496788008565311,4670,mistral_7b,chaosnli,1
phillips_sum,0.5048820973748689,0.03468950749464668,0.004282655246252677,4670,mistral_7b,chaosnli,1
gap,0.5353370461431544,0.0,0.0,4670,mistral_7b,chaosnli,1
logprob,0.572543596066021,0.0010706638115631692,0.00021413276231263382,4670,mistral_7b,chaosnli,1
probe_amb_only,0.6702372178726433,0.0,0.0,4670,mistral_7b,chaosnli,1
probe_pred_only,0.4656284561948673,0.061241970021413274,0.004925053533190578,4670,mistral_7b,chaosnli,2
logit_pred,0.4656284561948673,0.061241970021413274,0.004925053533190578,4670,mistral_7b,chaosnli,2
phillips_sum,0.5099013981889888,0.021413276231263382,0.0021413276231263384,4670,mistral_7b,chaosnli,2
gap,0.5333603095463757,0.0,0.0,4670,mistral_7b,chaosnli,2
logprob,0.5787454931265883,0.0014989293361884369,0.0006423982869379015,4670,mistral_7b,chaosnli,2
probe_amb_only,0.6727529227127558,0.0,0.0,4670,mistral_7b,chaosnli,2
probe_pred_only,0.30111976815662767,0.41608333333333336,0.36975,12000,mistral_7b,halueval_qa,0
logit_pred,0.30111976815662767,0.41608333333333336,0.36975,12000,mistral_7b,halueval_qa,0
gap,0.3022448057437881,0.41608333333333336,0.36883333333333335,12000,mistral_7b,halueval_qa,0
phillips_sum,0.3024664748404938,0.41641666666666666,0.36966666666666664,12000,mistral_7b,halueval_qa,0
probe_amb_only,0.6111427295828296,0.05341666666666667,0.02266666666666667,12000,mistral_7b,halueval_qa,0
seq_entropy,0.667515450619915,8.333333333333333e-05,8.333333333333333e-05,12000,mistral_7b,halueval_qa,0
logprob,0.6677653347252932,8.333333333333333e-05,8.333333333333333e-05,12000,mistral_7b,halueval_qa,0
probe_pred_only,0.301135575586167,0.41625,0.36983333333333335,12000,mistral_7b,halueval_qa,1
logit_pred,0.301135575586167,0.41625,0.36983333333333335,12000,mistral_7b,halueval_qa,1
gap,0.3021793745737571,0.41608333333333336,0.36933333333333335,12000,mistral_7b,halueval_qa,1
phillips_sum,0.30253177484376703,0.4166666666666667,0.36975,12000,mistral_7b,halueval_qa,1
probe_amb_only,0.6064940862453404,0.05433333333333333,0.02033333333333333,12000,mistral_7b,halueval_qa,1
seq_entropy,0.6672195815454965,8.333333333333333e-05,8.333333333333333e-05,12000,mistral_7b,halueval_qa,1
logprob,0.6679024819549935,8.333333333333333e-05,8.333333333333333e-05,12000,mistral_7b,halueval_qa,1
probe_pred_only,0.30112904892043274,0.41633333333333333,0.3695833333333333,12000,mistral_7b,halueval_qa,2
logit_pred,0.30112904892043274,0.41633333333333333,0.3695833333333333,12000,mistral_7b,halueval_qa,2
gap,0.30215825205859587,0.41633333333333333,0.36925,12000,mistral_7b,halueval_qa,2
phillips_sum,0.30264884017367977,0.41641666666666666,0.36925,12000,mistral_7b,halueval_qa,2
probe_amb_only,0.6102786747826879,0.05583333333333333,0.026083333333333333,12000,mistral_7b,halueval_qa,2
seq_entropy,0.6648280019308808,0.0,0.0,12000,mistral_7b,halueval_qa,2
logprob,0.6659945416528128,0.0,0.0,12000,mistral_7b,halueval_qa,2
probe_pred_only,0.4320588124060221,0.13218052007598088,0.053841619178620556,15267,mistral_7b,medqa,0
logit_pred,0.4320588421772114,0.13218052007598088,0.053841619178620556,15267,mistral_7b,medqa,0
logprob,0.4850260392058017,0.00923560620947141,6.550075325866247e-05,15267,mistral_7b,medqa,0
