model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.2,0.27473523555254076,0.24027684251253195,0.2750598772097144,0.3114371343305177,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.25,0.36527547486930667,0.3272344292554881,0.3649160501774358,0.40549625732414857,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.30000000000000004,0.47328839194895694,0.4402792920213309,0.47216374049374804,0.5069467751909305,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.35000000000000003,0.5852665749840859,0.5591213272367038,0.5939043619338862,0.5939043619338862,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.4,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.45,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.5,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.55,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.6000000000000001,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.65,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.7000000000000001,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.75,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.8,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.8500000000000001,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.9,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,0.9500000000000001,0.5939043619338861,0.5939043619338862,0.5939043619338862,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
LLaMA,TruthfulQA,llama3_8b,truthfulqa,1.0,0.5939043619338863,0.5939043619338863,0.5939043619338863,0.5939043619338863,0.003204400367745002,1526,0.2889908256880734,0.5353866317169069
